DeviceName,Dew_Point,Indoor_Humidity,Indoor_Temperature,Outdoor_Humidity,Outdoor_Temperature,Discharge_Pressure,Discharge_Temperature,kW,Power_Factor,Volts_Line_to_Line,Volts_Line_to_Neutral
store0010-RackA,52.11,47.11,72.52,,91.29,259.2,,45.2,0.7,589.0,339.9
store0010-RackA,52.29,47.73,72.57,,91.29,253.8,,49.5,0.73,589.1,340.0
store0010-RackA,52.32,47.23,72.57,,91.29,254.5,,48.3,0.72,589.3,339.9
store0010-RackA,52.41,47.23,72.57,,91.29,256.4,,39.6,0.74,589.9,340.4
store0010-RackA,52.7,47.91,72.57,,91.29,247.4,,39.4,0.74,590.0,340.5
store0010-RackA,52.7,47.91,72.57,,91.29,247.4,,48.1,0.72,589.3,340.0
store0010-RackA,52.59,47.71,72.61,,91.35,253.5,,48.6,0.72,589.0,340.0
store0010-RackA,52.59,47.71,72.61,,91.35,258.4,,48.1,0.72,590.2,340.6
store0010-RackA,52.34,47.71,72.61,,91.44,255.8,,49.2,0.72,589.0,339.9
store0010-RackA,52.27,47.71,72.61,,91.53,255.8,,38.5,0.73,589.6,340.3
store0010-RackA,52.23,47.94,72.61,,91.58,255.8,,55.4,0.7,588.0,339.3
store0010-RackA,52.23,47.94,72.61,,91.58,263.9,,55.8,0.7,587.4,339.0
store0010-RackA,52.65,48.04,72.72,,91.81,263.9,,47.6,0.72,588.8,339.8
store0010-RackA,52.57,48.31,72.72,,91.81,262.5,,47.1,0.72,589.6,340.2
store0010-RackA,52.57,48.31,72.72,,91.99,256.9,,36.5,0.72,590.5,340.7
store0010-RackA,52.75,48.11,72.72,,92.14,246.4,,45.9,0.71,588.9,339.8
store0010-RackA,52.84,47.81,72.75,,92.19,257.5,,46.9,0.72,589.6,340.2
store0010-RackA,52.83,48.39,72.81,,92.28,257.5,,44.4,0.69,589.6,340.2
store0010-RackA,52.83,48.39,72.81,,92.28,257.5,,44.4,0.71,588.9,339.8
store0010-RackA,51.89,46.35,72.81,,92.34,257.0,,34.4,0.7,590.4,340.7
store0010-RackA,52.5,47.63,72.81,,92.34,248.6,,34.4,0.7,590.8,340.9
store0010-RackA,52.56,48.14,72.81,,92.34,255.3,,45.0,0.7,589.1,339.9
store0010-RackA,52.77,48.14,72.81,,92.46,258.0,,47.9,0.72,588.4,339.6
store0010-RackA,52.52,47.43,72.84,,92.52,259.1,,47.6,0.72,589.1,340.0
store0010-RackA,52.54,48.21,72.84,,92.57,259.1,,47.4,0.71,588.4,339.6
store0010-RackA,52.54,48.21,72.84,,92.57,259.1,,39.9,0.74,589.2,340.1
store0010-RackA,52.47,46.58,72.84,,92.66,252.4,,49.9,0.74,588.0,339.4
store0010-RackA,52.3,46.58,72.99,,92.7,261.3,,48.5,0.72,587.8,339.3
store0010-RackA,52.81,48.16,72.95,,92.75,261.9,,49.5,0.73,589.2,340.0
store0010-RackA,52.79,48.16,72.9,,92.75,261.9,,50.4,0.73,588.8,339.8
store0010-RackA,52.79,48.16,72.9,,92.84,266.9,,47.1,0.71,589.5,340.2
store0010-RackA,52.79,48.16,72.9,,92.93,258.9,,46.3,0.71,589.6,340.2
store0010-RackA,52.79,48.16,72.9,,92.93,258.9,,48.8,0.73,588.7,339.8
store0010-RackA,52.97,48.16,72.9,,92.93,258.9,,48.5,0.73,588.6,339.7
store0010-RackA,52.97,47.13,72.9,,92.98,261.4,,49.4,0.73,588.4,339.7
store0010-RackA,52.68,47.61,72.9,,93.04,264.1,,50.1,0.73,588.4,339.5
store0010-RackA,52.68,47.61,72.9,,93.07,264.1,,39.4,0.74,589.9,340.6
store0010-RackA,52.9,47.61,72.9,,93.07,251.3,,47.5,0.72,587.4,339.2
store0010-RackA,53.15,47.61,73.04,,92.89,263.3,,55.8,0.7,587.2,339.0
store0010-RackA,53.15,47.61,73.04,,92.89,263.3,,48.5,0.72,588.4,339.7
store0010-RackA,53.1,47.61,73.04,,92.89,260.2,,47.9,0.72,588.3,339.6
store0010-RackA,53.1,47.61,73.09,,92.89,260.2,,48.4,0.72,587.6,339.1
store0010-RackA,53.1,47.61,73.13,,92.89,258.8,,38.6,0.73,588.5,339.7
store0010-RackA,53.1,47.61,73.13,,92.89,248.1,,37.4,0.72,589.0,339.9
store0010-RackA,52.93,47.61,73.13,,92.89,257.2,,48.7,0.72,588.8,339.7
store0010-RackA,52.93,47.61,73.13,,92.89,267.2,,52.5,0.75,587.9,339.3
store0010-RackA,53.28,47.61,73.13,,92.8,267.2,,52.2,0.74,588.0,339.2
store0010-RackA,53.28,48.44,73.18,,92.8,266.7,,50.4,0.73,587.8,339.3
store0010-RackA,53.35,48.09,73.18,,92.8,265.6,,52.4,0.75,587.3,338.9
store0010-RackA,53.35,46.86,73.18,,92.8,262.8,,51.8,0.75,587.2,338.9
store0010-RackA,53.35,47.03,73.18,,92.8,262.8,,51.4,0.74,587.6,339.0
store0010-RackA,52.48,47.03,73.18,,92.8,262.8,,52.0,0.74,587.3,338.9
store0010-RackA,52.48,47.03,73.18,,92.8,262.8,,51.5,0.74,588.1,339.3
store0010-RackA,52.88,47.03,73.27,,92.61,265.8,,50.6,0.73,589.0,339.8
store0010-RackA,53.44,47.03,73.27,,92.61,265.8,,51.5,0.74,588.4,339.5
store0010-RackA,53.11,47.03,73.27,,92.61,265.5,,51.9,0.75,587.7,339.1
store0010-RackA,53.19,47.03,73.27,,92.61,264.2,,51.3,0.74,587.7,339.1
store0010-RackA,53.19,47.03,73.22,,92.61,266.4,,51.6,0.74,587.3,338.8
store0010-RackA,53.19,47.66,73.22,,92.61,267.7,,50.3,0.73,588.5,339.5
store0010-RackA,53.19,47.66,73.22,,92.61,267.7,,52.4,0.74,587.2,338.8
store0010-RackA,53.04,47.84,73.22,,92.61,267.4,,47.7,0.73,587.9,339.2
store0010-RackA,53.04,47.84,73.22,,92.61,223.6,,48.3,0.73,587.2,338.7
store0010-RackA,53.31,48.41,73.22,,92.61,235.3,,47.4,0.72,588.1,339.3
store0010-RackA,53.17,47.89,73.22,,92.61,236.6,,47.5,0.72,587.7,339.1
store0010-RackA,53.17,47.89,73.33,,92.61,249.2,,47.1,0.71,588.9,339.8
store0010-RackA,53.17,47.89,73.33,,93.16,251.0,,47.5,0.72,587.0,338.7
store0010-RackA,53.17,47.89,73.33,,93.16,251.0,,38.0,0.74,588.3,339.6
store0010-RackA,53.17,47.91,73.33,,93.27,247.5,,38.0,0.73,588.7,339.8
store0010-RackA,53.17,47.91,73.33,,93.36,247.2,,47.3,0.72,587.6,339.1
store0010-RackA,53.17,47.91,73.36,,93.4,252.8,,48.2,0.72,588.3,339.6
store0010-RackA,53.4,47.91,73.36,,93.51,250.3,,47.3,0.72,588.6,339.6
store0010-RackA,53.24,47.91,73.36,,93.54,235.6,,45.2,0.7,588.8,339.8
store0010-RackA,53.24,47.91,73.36,,93.54,248.8,,46.0,0.72,587.6,339.1
